# {"t_start": 1542743781.2702985, "env_id": "HopperAdv-v1"} 
r,l,t
9.730054,22,1.66461
5.688835,25,1.75831
7.264357,14,1.800954
14.081366,19,1.860398
7.337273,15,1.916453
17.619668,20,1.986101
9.233054,12,2.030949
16.074698,24,2.117278
28.763047,31,2.223919
13.177906,29,2.322479
39.23837,43,2.429782
14.035778,14,2.476667
3.964069,21,2.53996
8.992046,15,2.583242
28.795171,24,2.644264
7.454534,28,2.725838
8.018159,11,2.76599
6.090029,13,2.809345
33.061727,30,2.895428
10.887081,18,2.953011
7.780557,12,3.007375
9.36483,28,3.099047
8.225392,11,3.13948
8.880093,17,3.194459
16.911333,19,3.250696
7.688698,12,3.293308
7.709838,17,3.346046
11.001949,14,3.386906
48.162722,47,3.54243
4.409913,10,3.574086
10.223111,12,3.611043
8.755574,10,3.641214
34.467124,29,3.737327
10.322474,17,3.785022
31.410679,26,3.867509
8.819966,18,3.917446
4.521394,8,3.937463
7.107297,11,3.967597
13.06089,18,4.016844
51.500171,44,4.135992
11.993459,23,4.199871
5.859465,10,4.236184
13.671426,31,4.337072
16.698231,24,4.405436
7.913391,13,4.447556
27.344665,21,4.517087
15.491798,20,4.574663
15.250404,27,4.66346
31.642953,37,4.780477
10.283888,20,4.838119
9.894009,12,4.876076
6.647692,9,4.903488
51.955767,43,5.043152
7.271026,12,5.086274
11.375031,17,5.138727
5.736671,19,5.195378
5.93873,14,5.231919
12.381306,19,5.289886
6.359687,11,5.330705
30.649028,26,5.424831
10.757167,22,5.494472
10.087817,22,5.56274
8.52072,11,5.596481
38.432651,35,5.692472
8.075383,13,5.739715
7.67435,11,5.783086
12.230086,14,5.825451
9.060983,17,5.877476
10.42835,21,5.940721
11.199404,12,5.984969
11.246122,12,6.019061
17.223925,19,6.074199
28.34538,27,6.158451
13.918003,18,6.212953
9.10536,17,6.267329
15.022942,18,6.319923
37.806533,35,6.435392
23.93692,21,6.496252
9.719607,14,6.544009
13.992636,15,6.602525
11.772826,13,6.641944
5.752834,8,6.666599
5.88613,9,6.698792
5.802419,9,6.729606
8.455855,14,6.77098
7.991257,18,6.828714
10.283178,13,6.875266
33.439783,29,6.951512
7.311511,13,6.988812
11.26055,29,7.086146
7.488972,16,7.139085
24.858768,32,7.251664
4.882556,11,7.288443
7.867664,10,7.319942
20.909325,32,7.417457
13.097244,15,7.469078
21.016302,22,7.526334
11.062733,13,7.563806
22.056214,27,7.649223
10.830278,18,7.696468
20.986671,31,7.786335
88.029715,62,7.977297
9.814508,13,8.01179
9.730054,22,1.677461
5.688835,25,1.742021
7.264357,14,1.78253
14.081366,19,1.838599
7.337273,15,1.881629
17.619668,20,1.940839
9.233054,12,1.974536
16.074698,24,2.043284
28.763047,31,2.16299
13.177906,29,2.270813
39.23837,43,2.410701
14.035778,14,2.45934
3.964069,21,2.536427
8.992046,15,2.59115
28.795171,24,2.655133
7.454534,28,2.730807
8.018159,11,2.763565
6.090029,13,2.798388
33.061727,30,2.889319
10.887081,18,2.93858
7.780557,12,2.968118
9.36483,28,3.037147
8.225392,11,3.064104
8.880093,17,3.106625
16.911333,19,3.166036
7.688698,12,3.195331
7.709838,17,3.234434
11.001949,14,3.264524
48.162722,47,3.378623
4.409913,10,3.405819
10.223111,12,3.445088
8.755574,10,3.471692
34.467124,29,3.552874
10.322474,17,3.604166
31.410679,26,3.674823
8.819966,18,3.732187
4.521394,8,3.755393
7.107297,11,3.785517
13.06089,18,3.838623
51.500171,44,3.956439
11.993459,23,4.031355
5.859465,10,4.057944
13.671426,31,4.1382
16.698231,24,4.210145
7.913391,13,4.242702
27.344665,21,4.296812
15.491798,20,4.350486
15.250404,27,4.417376
31.642953,37,4.521859
10.283888,20,4.575237
9.894009,12,4.612674
6.647692,9,4.635951
51.955767,43,4.77598
7.271026,12,4.807799
