# {"t_start": 1542744308.149929, "env_id": "HopperAdv-v1"} 
r,l,t
12.630276,14,107.198534
124.905211,64,107.591886
96.083435,56,107.934227
166.020764,100,108.590642
10.188315,12,108.677078
124.692612,65,109.135493
154.903522,73,109.594934
34.694313,26,109.759056
92.289624,64,110.173299
90.139056,62,110.556406
122.63229,78,111.044414
33.503963,42,111.29724
19.139341,20,111.418984
187.048504,91,111.986109
116.112415,64,112.411663
122.227781,64,112.821637
9.515291,12,112.90644
71.670334,43,113.151867
58.466439,37,113.36668
146.362839,72,113.820283
8.75505,27,114.007857
30.156947,26,114.180757
96.385517,63,114.563351
10.625577,38,114.797803
9.807817,12,114.875716
14.127996,38,115.135062
168.993047,82,115.632772
91.789899,78,116.132222
135.333404,76,138.791018
193.317745,99,139.397534
99.512221,60,139.768379
63.107564,38,140.046121
56.075546,34,140.273339
56.207508,33,140.489527
64.225049,38,140.705396
55.344151,37,140.95382
118.341737,62,141.325793
65.70933,39,141.573122
116.448234,63,141.948282
232.387876,120,142.754839
82.79103,50,143.073906
63.124547,38,143.319871
52.739111,32,143.513173
97.100648,54,143.838647
88.887724,49,144.168944
21.5158,20,144.30451
125.193589,69,144.758677
164.326314,114,145.532257
14.626192,15,145.631693
175.599012,83,146.146388
173.69964,80,146.686635
156.492173,94,147.333774
194.826319,90,147.972701
123.981739,67,148.446064
67.432076,47,148.763551
77.140137,47,149.075046
158.301347,75,149.609767
121.359237,65,150.045827
19.760864,18,150.168459
178.160897,107,150.866088
157.00296,79,151.41868
203.695598,102,177.192591
189.656178,91,177.756199
83.598411,73,178.254133
182.07438,112,178.96939
153.635299,79,179.482173
55.677787,33,179.721946
13.153558,16,179.803139
42.751373,49,180.121478
178.830342,84,180.706653
93.681207,53,181.057172
223.269426,96,181.652057
124.061417,68,182.080081
188.851625,84,182.6299
130.247107,67,183.012647
81.470263,47,183.305305
184.566578,85,183.833333
202.384546,90,184.426445
217.149041,100,185.088038
147.721873,72,185.563597
61.462413,37,185.841027
97.607973,53,186.201655
98.172841,54,186.594588
115.917445,67,187.017738
219.084806,97,187.667984
191.228697,141,188.5665
94.851627,53,188.918493
72.588305,42,189.185147
199.083246,99,189.793844
131.89495,67,215.921908
192.309294,99,216.590345
169.105553,82,217.08492
164.452529,81,217.634207
170.214989,85,218.142878
207.285356,92,218.712627
182.261349,82,219.270636
208.191982,92,219.897083
183.491403,85,220.452516
151.373688,77,220.92327
187.758685,85,221.444221
183.926388,85,221.962751
192.260717,85,222.477242
189.040214,85,223.026831
105.331373,57,223.398934
182.954787,86,223.952136
219.583103,96,224.669603
58.133451,36,224.965815
85.858929,51,225.310956
212.976057,95,225.951556
194.806889,92,226.604429
185.634951,84,227.165559
232.591793,106,227.835898
190.405561,90,228.466287
205.426869,106,229.221789
193.611509,87,256.26873
181.70582,88,256.824423
206.114624,94,257.405897
61.528705,37,257.685019
211.137128,92,258.277526
184.203901,89,258.897874
53.982596,32,259.131209
203.998301,91,259.700537
150.792763,74,260.137675
192.750672,93,260.72153
204.435322,100,261.364015
201.794043,90,261.939254
190.278326,94,262.581121
210.080691,92,263.221806
166.897964,78,263.742783
178.66772,86,264.406735
122.850032,66,264.873428
143.211038,70,265.341913
100.100131,55,265.740058
196.010791,92,266.380355
179.428591,84,266.916472
221.462615,109,267.672375
201.011827,88,268.250475
158.125764,78,268.858198
84.61779,48,269.20354
153.671004,74,294.52027
190.91579,86,295.090184
203.673924,96,295.717714
42.279914,25,295.870263
190.450924,92,296.489102
198.634962,95,297.147543
187.207747,90,297.710145
211.260836,92,298.320997
126.174239,66,298.78445
191.298734,86,299.376422
134.379511,70,299.851097
143.473462,73,300.366414
183.43779,90,300.97863
194.428064,88,301.556668
215.893856,95,302.15989
179.69889,90,302.73091
199.84563,89,303.353421
215.404114,96,304.019881
193.172358,86,304.596716
163.918582,78,305.076075
210.125942,98,305.694365
193.326601,89,306.231013
209.84987,105,306.952106
173.878977,81,307.531259
205.127525,92,333.706959
210.859333,105,334.452751
205.132246,104,335.145306
192.532449,91,335.738161
189.596268,86,336.323819
198.436119,89,336.935236
217.347949,97,337.611748
174.49816,81,338.149368
209.572148,96,338.819867
205.887526,92,339.432419
185.339536,84,340.000566
187.974151,84,340.5973
217.333894,98,341.251507
220.378275,96,341.924346
180.160215,88,342.479464
177.496617,88,343.079749
212.436369,94,343.669904
196.246987,96,344.254587
189.444979,85,344.803506
195.318307,94,345.410429
185.544502,88,346.078505
193.697155,89,346.700081
198.05718,91,347.303514
199.753632,95,372.091431
193.052336,87,372.646049
185.519362,96,373.383262
206.25935,96,373.951693
198.12243,89,374.514396
184.678954,84,375.100137
225.915807,105,375.771792
215.56741,98,376.489059
171.123058,87,377.105906
87.961334,49,377.432197
200.422044,98,378.074716
211.495748,94,378.747043
195.109958,88,379.347821
