# {"t_start": 1542744412.5104127, "env_id": "HopperAdv-v1"} 
r,l,t
14.197078,20,43.408314
84.159164,49,43.582478
99.636384,58,43.812612
109.327777,92,44.187689
101.655281,56,44.401093
223.722541,106,44.812622
13.027708,14,44.875924
97.416861,58,45.095439
111.268858,60,45.319478
80.845899,52,45.499449
122.678588,77,45.786507
70.204764,42,45.957267
98.902246,76,46.214147
174.633601,96,46.571791
98.520053,54,46.775199
97.526722,55,46.962522
91.148809,58,47.183242
63.048182,53,47.400034
61.549941,41,47.544552
110.860154,58,47.729205
64.445306,39,47.891496
138.173801,87,48.247303
83.374086,48,48.460109
61.192251,36,53.23952
144.879828,78,53.561742
99.380989,58,53.803605
135.653216,71,54.082451
7.453499,10,54.126038
85.816105,48,54.310688
193.809546,98,54.709076
74.003277,56,54.947182
163.809878,83,55.301172
9.79282,12,55.357237
104.644574,56,55.569374
81.382453,49,55.767967
59.977088,36,55.920881
131.15651,70,56.173026
92.010431,53,56.381368
111.640617,62,56.61422
67.406068,44,56.799386
126.790567,66,57.044102
105.120615,57,57.261666
207.13361,100,57.669067
101.619743,58,57.885866
113.527508,67,58.144688
52.72701,32,58.259467
69.5453,44,58.442079
124.349269,66,58.70978
97.360701,56,58.925969
105.596439,61,59.144533
147.753518,102,59.517638
11.185435,14,59.567903
103.591334,58,59.778208
76.35864,45,59.963189
184.161465,98,60.386717
114.234573,64,60.643328
126.302898,75,60.936612
78.63324,46,61.11766
151.367175,73,65.576804
96.439429,53,65.797719
73.142973,42,65.982748
222.667643,99,66.388082
10.582558,12,66.431502
65.342907,41,66.618118
52.778534,32,66.743573
145.795142,72,67.026096
74.010931,43,67.189241
159.37416,80,67.518492
121.047652,63,67.765073
11.522966,13,67.815869
96.764153,55,68.043273
115.75246,65,68.254053
49.673744,43,68.433931
133.386271,78,68.754123
132.667743,72,69.033605
130.720881,71,69.282854
193.396125,111,69.712273
88.127688,61,69.964664
152.758003,77,70.293504
53.149205,32,70.420846
129.895127,66,70.678809
96.91602,56,70.899518
184.897474,92,71.247297
125.306074,68,71.506623
115.668171,64,71.741962
161.654196,78,72.02289
129.540345,71,72.2817
149.359773,73,72.551303
120.530251,67,72.791741
107.745546,62,73.028584
160.613041,76,73.286665
199.455352,87,78.041116
133.160455,70,78.297577
122.740486,64,78.526052
109.658257,61,78.777894
189.879514,87,79.145083
110.827085,63,79.400311
215.128903,99,79.793885
120.892724,64,80.043613
125.956408,66,80.287308
136.719635,85,80.614525
188.570008,86,80.957487
132.354318,75,81.254041
107.70988,61,81.482731
62.730742,39,81.628178
138.585968,70,81.902836
155.022905,75,82.213316
170.677927,89,82.536291
119.178736,63,82.768509
73.533369,42,82.908438
160.183419,77,83.165785
143.995959,73,83.4544
137.957111,73,83.746305
105.702156,60,83.96453
110.252672,61,84.183774
218.371854,99,84.579393
206.689131,101,84.981252
121.564431,64,85.228966
61.309642,39,85.381814
125.668495,69,85.637055
90.214199,52,90.682221
183.032478,90,91.041486
186.305343,84,91.394188
177.931199,84,91.718787
191.491524,88,92.068249
195.678597,87,92.437519
193.231387,89,92.864077
158.719073,74,93.188603
201.984722,89,93.528216
209.057504,91,93.884872
166.510089,81,94.229618
210.162639,97,94.600945
101.884604,60,94.864079
211.427034,93,95.221158
165.611978,84,95.554704
202.455008,89,95.89331
206.157271,97,96.22312
102.233562,56,96.415273
192.241395,92,96.772458
204.552015,90,97.127226
134.750873,67,97.404916
188.249922,84,97.705952
154.751531,90,98.043957
41.652722,25,98.144862
156.557094,86,98.494037
194.814014,93,103.606108
216.527752,94,104.004533
150.428178,74,104.289192
189.869549,87,104.609992
220.448255,103,104.993041
215.295152,94,105.344601
187.664641,87,105.641326
145.765259,73,105.937098
205.750605,92,106.273231
138.750825,71,106.556771
215.544755,102,106.992433
169.099,80,107.304077
63.14547,38,107.448305
219.00859,96,107.783205
213.095774,93,108.123662
201.499245,94,108.489283
179.562264,84,108.815388
193.238002,86,109.174431
216.593666,96,109.536826
215.651197,95,109.885347
207.009687,91,110.205313
176.484761,84,110.530514
203.278508,91,110.880538
205.72433,92,111.25131
195.24987,88,116.482382
203.605582,91,116.838517
178.059026,84,117.139935
210.173121,97,117.482296
113.866412,61,117.68568
204.067773,90,117.99357
216.310959,94,118.355075
185.586443,86,118.64362
208.928414,93,119.012573
189.368886,89,119.324629
128.260147,67,119.554409
152.148066,86,119.874446
184.099507,91,120.19613
211.970225,96,120.5637
209.642603,92,120.919459
134.898911,71,121.181245
226.432292,123,121.710886
218.024044,95,122.076285
208.698768,93,122.484011
195.670414,92,122.842378
196.389395,93,123.230669
174.493837,86,123.576571
190.268258,86,123.922583
210.916357,94,128.770847
202.528461,90,129.163285
193.775824,87,129.528888
184.986748,85,129.85875
193.502469,92,130.19031
171.634582,79,130.5046
195.945595,94,130.857491
196.789665,90,131.246176
86.810576,50,131.44359
181.633225,85,131.763932
197.123906,88,132.091301
64.019071,38,132.251022
202.393608,91,132.580912
230.13327,106,133.034606
196.530829,87,133.383784
216.503037,98,133.802108
174.475764,81,134.10003
112.486699,63,134.32667
153.131381,75,134.617862
206.982317,91,135.0043
212.414622,94,135.350934
190.778697,89,135.705591
207.812888,92,136.04755
186.413034,88,136.399939
206.517121,90,142.868296
204.481989,93,143.314098
194.011065,92,143.669937
196.743332,89,144.007245
204.035614,93,144.354971
206.798216,91,144.703471
207.30342,91,145.082848
205.228953,90,145.409699
204.261853,90,145.747167
206.903728,91,146.092478
219.808142,99,146.45983
203.848617,89,146.80762
193.086615,88,147.111639
183.079293,85,147.407488
207.660871,91,147.741969
191.759333,94,148.117926
202.940177,92,148.492205
200.916869,98,148.883724
170.956291,80,149.179346
194.928677,87,149.515298
213.981798,93,149.84672
171.550375,79,150.169626
206.101466,99,154.818738
192.813977,87,155.154302
183.357889,88,155.49906
209.227442,92,155.875631
186.850523,94,156.204098
189.21977,89,156.536448
203.12676,90,156.889832
213.714417,95,157.245303
210.20077,93,157.58685
181.861213,85,157.89441
198.858587,89,158.231539
205.875635,91,158.607731
205.197636,91,158.963069
201.650648,88,159.294589
214.885653,97,159.695732
200.222064,89,160.038791
184.975639,84,160.346081
193.127767,85,160.666217
189.749417,89,161.010742
192.718636,87,161.375935
191.894637,89,161.741639
236.172466,109,162.17172
200.415841,88,162.501889
189.497028,94,168.19124
192.886452,87,168.608032
189.175311,86,168.966048
206.836834,92,169.34825
193.588741,87,169.705577
208.939795,92,170.064183
251.646106,114,170.52645
208.729193,92,170.941529
227.543462,100,171.35697
202.770188,91,171.744708
214.071692,94,172.067962
214.091201,94,172.477265
202.565132,90,172.847824
201.291031,89,173.198707
196.954344,95,173.551482
195.255343,87,173.881641
201.639421,92,174.209963
194.036601,96,174.583535
213.23502,93,174.938066
198.939988,88,175.223668
210.079249,96,175.581437
223.844106,100,175.95503
198.434624,89,180.878771
230.370628,101,181.243084
191.144807,87,181.56116
229.612516,100,181.957154
205.374076,91,182.304549
194.483211,89,182.656632
216.204559,95,183.037201
201.259412,91,183.37191
226.668068,100,183.764014
204.287606,90,184.130648
202.994028,92,184.463681
189.373093,94,184.844734
213.347792,93,185.199889
209.396412,93,185.542149
197.445911,98,185.890199
203.425827,91,186.234392
207.954652,92,186.632992
195.728954,93,187.009531
207.385347,92,187.386925
